"labels","Time","Line","tsNs","labelTypes","id"
[object Object],2025-03-05 15:47:33,"{""level"": ""ERROR"", ""message"": ""2025-03-05 15:47:33,180 | ERROR | {\""user_id\"": 80, \""product_id\"": 1626, \""amount\"": 65.51, \""status\"": \""success\"", \""random_string\"": \""g3CdO0rTJA\""}"", ""timestamp"": ""2025-03-05 15:47:33""}",1741169853180753920,[object Object],1741169853180753920_450057a
[object Object],2025-03-05 15:47:28,"{""level"": ""WARNING"", ""message"": ""2025-03-05 15:47:28,207 | WARNING | {\""user_id\"": 34, \""product_id\"": 1170, \""amount\"": 50.36, \""status\"": \""success\"", \""random_string\"": \""dNiO17ejYk\""}"", ""timestamp"": ""2025-03-05 15:47:28""}",1741169848208104192,[object Object],1741169848208104192_c2aced0a
[object Object],2025-03-05 15:47:25,"{""level"": ""WARNING"", ""message"": ""2025-03-05 15:47:25,631 | WARNING | {\""user_id\"": 70, \""product_id\"": 1202, \""amount\"": 88.9, \""status\"": \""pending\"", \""random_string\"": \""eqeqwRL8Rc\""}"", ""timestamp"": ""2025-03-05 15:47:25""}",1741169845632093184,[object Object],1741169845632093184_296b7ff4
[object Object],2025-03-05 15:47:24,"{""level"": ""ERROR"", ""message"": ""2025-03-05 15:47:24,979 | ERROR | {\""user_id\"": 95, \""product_id\"": 1905, \""amount\"": 41.94, \""status\"": \""success\"", \""random_string\"": \""fJXKH1BZzr\""}"", ""timestamp"": ""2025-03-05 15:47:24""}",1741169844979483904,[object Object],1741169844979483904_bd7d204e
[object Object],2025-03-05 15:47:23,"{""level"": ""ERROR"", ""message"": ""2025-03-05 15:47:23,683 | ERROR | {\""user_id\"": 89, \""product_id\"": 1305, \""amount\"": 96.19, \""status\"": \""success\"", \""random_string\"": \""FeMfdyIyPW\""}"", ""timestamp"": ""2025-03-05 15:47:23""}",1741169843683091200,[object Object],1741169843683091200_540ab07c
[object Object],2025-03-05 15:47:21,"{""level"": ""ERROR"", ""message"": ""2025-03-05 15:47:21,780 | ERROR | {\""user_id\"": 14, \""product_id\"": 1261, \""amount\"": 81.77, \""status\"": \""failure\"", \""random_string\"": \""R3Dd5AoaAb\""}"", ""timestamp"": ""2025-03-05 15:47:21""}",1741169841780818688,[object Object],1741169841780818688_fa0371a0
[object Object],2025-03-05 15:47:12,"{""level"": ""INFO"", ""message"": ""2025-03-05 15:47:12,227 | INFO | {\""user_id\"": 46, \""product_id\"": 1820, \""amount\"": 55.54, \""status\"": \""pending\"", \""random_string\"": \""7tfvhWAYBt\""}"", ""timestamp"": ""2025-03-05 15:47:12""}",1741169832227558912,[object Object],1741169832227558912_5583a376
[object Object],2025-03-05 15:47:10,"{""level"": ""ERROR"", ""message"": ""2025-03-05 15:47:10,852 | ERROR | {\""user_id\"": 75, \""product_id\"": 1364, \""amount\"": 35.82, \""status\"": \""failure\"", \""random_string\"": \""hfhg1b1d5l\""}"", ""timestamp"": ""2025-03-05 15:47:10""}",1741169830852259328,[object Object],1741169830852259328_b31c2e68
[object Object],2025-03-05 15:47:05,"{""level"": ""ERROR"", ""message"": ""2025-03-05 15:47:05,594 | ERROR | {\""user_id\"": 86, \""product_id\"": 1380, \""amount\"": 70.23, \""status\"": \""pending\"", \""random_string\"": \""JN0WstHSZo\""}"", ""timestamp"": ""2025-03-05 15:47:05""}",1741169825594945536,[object Object],1741169825594945536_4ab8181c
[object Object],2025-03-05 15:47:03,"{""level"": ""ERROR"", ""message"": ""2025-03-05 15:47:03,767 | ERROR | {\""user_id\"": 65, \""product_id\"": 1216, \""amount\"": 80.86, \""status\"": \""success\"", \""random_string\"": \""DdWR1ULcuD\""}"", ""timestamp"": ""2025-03-05 15:47:03""}",1741169823767462656,[object Object],1741169823767462656_26a12284
[object Object],2025-03-05 15:46:59,"{""level"": ""ERROR"", ""message"": ""2025-03-05 15:46:59,083 | ERROR | {\""user_id\"": 90, \""product_id\"": 1384, \""amount\"": 42.85, \""status\"": \""pending\"", \""random_string\"": \""5CKcG6JaKf\""}"", ""timestamp"": ""2025-03-05 15:46:59""}",1741169819083960064,[object Object],1741169819083960064_4d46c1ac
[object Object],2025-03-05 15:46:57,"{""level"": ""WARNING"", ""message"": ""2025-03-05 15:46:57,934 | WARNING | {\""user_id\"": 25, \""product_id\"": 1604, \""amount\"": 24.75, \""status\"": \""pending\"", \""random_string\"": \""Hh5ITByGwr\""}"", ""timestamp"": ""2025-03-05 15:46:57""}",1741169817934862848,[object Object],1741169817934862848_917b1e02
[object Object],2025-03-05 15:46:55,"{""level"": ""WARNING"", ""message"": ""2025-03-05 15:46:55,360 | WARNING | {\""user_id\"": 59, \""product_id\"": 1551, \""amount\"": 38.33, \""status\"": \""success\"", \""random_string\"": \""OvJA0Iqqec\""}"", ""timestamp"": ""2025-03-05 15:46:55""}",1741169815362164480,[object Object],1741169815362164480_1ad9c74a
[object Object],2025-03-05 15:46:53,"{""level"": ""WARNING"", ""message"": ""2025-03-05 15:46:53,865 | WARNING | {\""user_id\"": 98, \""product_id\"": 1364, \""amount\"": 40.25, \""status\"": \""success\"", \""random_string\"": \""zpmagXrhNJ\""}"", ""timestamp"": ""2025-03-05 15:46:53""}",1741169813865273344,[object Object],1741169813865273344_6d21bc0c
[object Object],2025-03-05 15:46:50,"{""level"": ""ERROR"", ""message"": ""2025-03-05 15:46:50,810 | ERROR | {\""user_id\"": 9, \""product_id\"": 1018, \""amount\"": 25.24, \""status\"": \""failure\"", \""random_string\"": \""d90HWCJ13N\""}"", ""timestamp"": ""2025-03-05 15:46:50""}",1741169810810679296,[object Object],1741169810810679296_8529ce3a
[object Object],2025-03-05 15:46:49,"{""level"": ""WARNING"", ""message"": ""2025-03-05 15:46:49,845 | WARNING | {\""user_id\"": 43, \""product_id\"": 1422, \""amount\"": 31.53, \""status\"": \""failure\"", \""random_string\"": \""UVVj7yrj2Z\""}"", ""timestamp"": ""2025-03-05 15:46:49""}",1741169809845849856,[object Object],1741169809845849856_2b577ea8
[object Object],2025-03-05 15:46:48,"{""level"": ""INFO"", ""message"": ""2025-03-05 15:46:48,609 | INFO | {\""user_id\"": 61, \""product_id\"": 1333, \""amount\"": 83.36, \""status\"": \""pending\"", \""random_string\"": \""WP3gYqRUYZ\""}"", ""timestamp"": ""2025-03-05 15:46:48""}",1741169808609481984,[object Object],1741169808609481984_bd1d053a
[object Object],2025-03-05 15:46:44,"{""level"": ""WARNING"", ""message"": ""2025-03-05 15:46:44,270 | WARNING | {\""user_id\"": 44, \""product_id\"": 1963, \""amount\"": 98.3, \""status\"": \""failure\"", \""random_string\"": \""6Ch5XdPsCx\""}"", ""timestamp"": ""2025-03-05 15:46:44""}",1741169804270900736,[object Object],1741169804270900736_1459ecc0
[object Object],2025-03-05 15:46:41,"{""level"": ""ERROR"", ""message"": ""2025-03-05 15:46:41,703 | ERROR | {\""user_id\"": 49, \""product_id\"": 1042, \""amount\"": 43.81, \""status\"": \""failure\"", \""random_string\"": \""Z9XluGkn3r\""}"", ""timestamp"": ""2025-03-05 15:46:41""}",1741169801703174400,[object Object],1741169801703174400_e0fc6986
[object Object],2025-03-05 15:46:40,"{""level"": ""INFO"", ""message"": ""2025-03-05 15:46:40,402 | INFO | {\""user_id\"": 82, \""product_id\"": 1541, \""amount\"": 40.6, \""status\"": \""success\"", \""random_string\"": \""seEc9nqmRs\""}"", ""timestamp"": ""2025-03-05 15:46:40""}",1741169800402617088,[object Object],1741169800402617088_da4f08dc
[object Object],2025-03-05 15:46:39,"{""level"": ""INFO"", ""message"": ""2025-03-05 15:46:39,304 | INFO | {\""user_id\"": 81, \""product_id\"": 1543, \""amount\"": 67.19, \""status\"": \""success\"", \""random_string\"": \""2ChJLNxVd5\""}"", ""timestamp"": ""2025-03-05 15:46:39""}",1741169799304701184,[object Object],1741169799304701184_19eb6400
