"labels","Time","Line","tsNs","labelTypes","id"
[object Object],2025-03-05 16:26:25,"{""level"": ""INFO"", ""message"": ""2025-03-05 16:26:25,882 | INFO | {\""user_id\"": 9, \""product_id\"": 1935, \""amount\"": 72.66, \""status\"": \""success\"", \""random_string\"": \""FQkR6P5OcS\""}"", ""timestamp"": ""2025-03-05 16:26:25""}",1741172185883132928,[object Object],1741172185883132928_d8e4f2a8
[object Object],2025-03-05 16:26:23,"{""level"": ""INFO"", ""message"": ""2025-03-05 16:26:23,990 | INFO | {\""user_id\"": 31, \""product_id\"": 1304, \""amount\"": 31.23, \""status\"": \""success\"", \""random_string\"": \""tMMEUwjUQu\""}"", ""timestamp"": ""2025-03-05 16:26:23""}",1741172183990593280,[object Object],1741172183990593280_c5ffc2be
[object Object],2025-03-05 16:26:22,"{""level"": ""WARNING"", ""message"": ""2025-03-05 16:26:22,289 | WARNING | {\""user_id\"": 69, \""product_id\"": 1893, \""amount\"": 28.96, \""status\"": \""success\"", \""random_string\"": \""c4QocdGz1c\""}"", ""timestamp"": ""2025-03-05 16:26:22""}",1741172182289918976,[object Object],1741172182289918976_90bf8afc
[object Object],2025-03-05 16:26:19,"{""level"": ""INFO"", ""message"": ""2025-03-05 16:26:19,652 | INFO | {\""user_id\"": 60, \""product_id\"": 1762, \""amount\"": 43.36, \""status\"": \""failure\"", \""random_string\"": \""87AVxrBNlL\""}"", ""timestamp"": ""2025-03-05 16:26:19""}",1741172179652257536,[object Object],1741172179652257536_a473cbae
[object Object],2025-03-05 16:26:08,"{""level"": ""INFO"", ""message"": ""2025-03-05 16:26:08,679 | INFO | {\""user_id\"": 27, \""product_id\"": 1002, \""amount\"": 35.51, \""status\"": \""failure\"", \""random_string\"": \""ACpEqBtz3G\""}"", ""timestamp"": ""2025-03-05 16:26:08""}",1741172168680038656,[object Object],1741172168680038656_b5aa4968
[object Object],2025-03-05 16:26:08,"{""level"": ""WARNING"", ""message"": ""2025-03-05 16:26:08,015 | WARNING | {\""user_id\"": 65, \""product_id\"": 1307, \""amount\"": 45.44, \""status\"": \""pending\"", \""random_string\"": \""RED1tneq3R\""}"", ""timestamp"": ""2025-03-05 16:26:08""}",1741172168016048384,[object Object],1741172168016048384_9dd007b2
[object Object],2025-03-05 16:26:06,"{""level"": ""ERROR"", ""message"": ""2025-03-05 16:26:06,993 | ERROR | {\""user_id\"": 57, \""product_id\"": 1855, \""amount\"": 84.29, \""status\"": \""failure\"", \""random_string\"": \""0FdC20xMMl\""}"", ""timestamp"": ""2025-03-05 16:26:06""}",1741172166993846784,[object Object],1741172166993846784_937433c
[object Object],2025-03-05 16:26:05,"{""level"": ""INFO"", ""message"": ""2025-03-05 16:26:05,703 | INFO | {\""user_id\"": 89, \""product_id\"": 1386, \""amount\"": 25.59, \""status\"": \""failure\"", \""random_string\"": \""UdkUjyRxUo\""}"", ""timestamp"": ""2025-03-05 16:26:05""}",1741172165703540480,[object Object],1741172165703540480_6195182a
[object Object],2025-03-05 16:26:04,"{""level"": ""WARNING"", ""message"": ""2025-03-05 16:26:04,977 | WARNING | {\""user_id\"": 86, \""product_id\"": 1071, \""amount\"": 94.62, \""status\"": \""pending\"", \""random_string\"": \""JsoYxoWENw\""}"", ""timestamp"": ""2025-03-05 16:26:04""}",1741172164977678848,[object Object],1741172164977678848_33538152
[object Object],2025-03-05 16:26:03,"{""level"": ""INFO"", ""message"": ""2025-03-05 16:26:03,044 | INFO | {\""user_id\"": 25, \""product_id\"": 1894, \""amount\"": 60.02, \""status\"": \""pending\"", \""random_string\"": \""SDXQ8g4wXC\""}"", ""timestamp"": ""2025-03-05 16:26:03""}",1741172163044750848,[object Object],1741172163044750848_35abaf78
[object Object],2025-03-05 16:25:58,"{""level"": ""WARNING"", ""message"": ""2025-03-05 16:25:58,603 | WARNING | {\""user_id\"": 8, \""product_id\"": 1725, \""amount\"": 11.18, \""status\"": \""failure\"", \""random_string\"": \""rxDf7fG6cq\""}"", ""timestamp"": ""2025-03-05 16:25:58""}",1741172158603964416,[object Object],1741172158603964416_c10f7afa
[object Object],2025-03-05 16:25:52,"{""level"": ""ERROR"", ""message"": ""2025-03-05 16:25:52,410 | ERROR | {\""user_id\"": 77, \""product_id\"": 1452, \""amount\"": 83.61, \""status\"": \""pending\"", \""random_string\"": \""9xPnp5vxKG\""}"", ""timestamp"": ""2025-03-05 16:25:52""}",1741172152410894336,[object Object],1741172152410894336_bbed2188
[object Object],2025-03-05 16:25:50,"{""level"": ""WARNING"", ""message"": ""2025-03-05 16:25:50,435 | WARNING | {\""user_id\"": 79, \""product_id\"": 1819, \""amount\"": 44.81, \""status\"": \""failure\"", \""random_string\"": \""IrjLdmWX06\""}"", ""timestamp"": ""2025-03-05 16:25:50""}",1741172150435126528,[object Object],1741172150435126528_8e9054da
[object Object],2025-03-05 16:25:49,"{""level"": ""WARNING"", ""message"": ""2025-03-05 16:25:49,431 | WARNING | {\""user_id\"": 32, \""product_id\"": 1180, \""amount\"": 69.51, \""status\"": \""success\"", \""random_string\"": \""WCX57eCttm\""}"", ""timestamp"": ""2025-03-05 16:25:49""}",1741172149431324160,[object Object],1741172149431324160_22b324c8
[object Object],2025-03-05 16:25:47,"{""level"": ""ERROR"", ""message"": ""2025-03-05 16:25:47,852 | ERROR | {\""user_id\"": 27, \""product_id\"": 1529, \""amount\"": 44.16, \""status\"": \""pending\"", \""random_string\"": \""tLbjGV61sU\""}"", ""timestamp"": ""2025-03-05 16:25:47""}",1741172147853103104,[object Object],1741172147853103104_61c58c06
[object Object],2025-03-05 16:25:43,"{""level"": ""WARNING"", ""message"": ""2025-03-05 16:25:43,103 | WARNING | {\""user_id\"": 38, \""product_id\"": 1565, \""amount\"": 59.46, \""status\"": \""pending\"", \""random_string\"": \""ZTcM8XsugB\""}"", ""timestamp"": ""2025-03-05 16:25:43""}",1741172143103966720,[object Object],1741172143103966720_372367d0
[object Object],2025-03-05 16:25:41,"{""level"": ""WARNING"", ""message"": ""2025-03-05 16:25:41,712 | WARNING | {\""user_id\"": 34, \""product_id\"": 1120, \""amount\"": 32.28, \""status\"": \""failure\"", \""random_string\"": \""HTVf5gCKmD\""}"", ""timestamp"": ""2025-03-05 16:25:41""}",1741172141712444416,[object Object],1741172141712444416_a77339b2
[object Object],2025-03-05 16:25:39,"{""level"": ""WARNING"", ""message"": ""2025-03-05 16:25:39,734 | WARNING | {\""user_id\"": 51, \""product_id\"": 1811, \""amount\"": 84.49, \""status\"": \""failure\"", \""random_string\"": \""B9x1DEscG8\""}"", ""timestamp"": ""2025-03-05 16:25:39""}",1741172139734964480,[object Object],1741172139734964480_d4cd3156
[object Object],2025-03-05 16:25:38,"{""level"": ""ERROR"", ""message"": ""2025-03-05 16:25:38,476 | ERROR | {\""user_id\"": 77, \""product_id\"": 1734, \""amount\"": 61.33, \""status\"": \""success\"", \""random_string\"": \""c5lIEfzdaH\""}"", ""timestamp"": ""2025-03-05 16:25:38""}",1741172138476865792,[object Object],1741172138476865792_da2f34e
[object Object],2025-03-05 16:25:32,"{""level"": ""ERROR"", ""message"": ""2025-03-05 16:25:32,966 | ERROR | {\""user_id\"": 3, \""product_id\"": 1747, \""amount\"": 18.85, \""status\"": \""failure\"", \""random_string\"": \""yiSsZRRJIk\""}"", ""timestamp"": ""2025-03-05 16:25:32""}",1741172132966560512,[object Object],1741172132966560512_68b60196
