Division,Customer  Code,Customer  Name,S/O Number,Sub,Supply  Part No,UIT, Desc,Ordered  Date,Due Date,SDR Month ,Request  Qty,Status,Status  Detail,OS Vendor,W/H Ship Date,Supply Time Gap ,SDR Pass / Fail
CNZ,IN031723,IN031723,9006801528,1,AEB75004912,S,"Grille Assembly,Fan",20-Jun-24,27-Jun-24,Jun,114,Closed,,EAIL_PG ELECTROPLAST LTD._IN001930,24-Jun-24,10,Pass
CNZ,IN031723,IN031723,9006801528,1,AEB75004912,S,"Grille Assembly,Fan",20-Jun-24,27-Jun-24,Jun,401,Closed,,EAIL_PG ELECTROPLAST LTD._IN001930,24-Jun-24,10,Pass
CNZ,IN031723,IN031723,9006801528,1,AEB75004912,S,"Grille Assembly,Fan",20-Jun-24,27-Jun-24,Jun,384,Closed,,EAIL_PG ELECTROPLAST LTD._IN001930,24-Jun-24,10,Pass
CNZ,IN031723,IN031723,9006800883,1,ADL76715303,S,Evaporator Assembly,20-Jun-24,27-Jun-24,Jun,5,Closed,,EAIL_STARION INDIA PVT. LTD.-Noida_IN001947,20-Jun-24,14,Pass
CNZ,IN031723,IN031723,9006801528,1,AEB75004912,S,"Grille Assembly,Fan",20-Jun-24,27-Jun-24,Jun,384,Closed,,EAIL_PG ELECTROPLAST LTD._IN001930,24-Jun-24,10,Pass
CNZ,IN031723,IN031723,9006801527,1,AEB75004912,S,"Grille Assembly,Fan",20-Jun-24,27-Jun-24,Jun,221,Closed,,EAIL_PG ELECTROPLAST LTD._IN001930,24-Jun-24,10,Pass
CNZ,IN031723,IN031723,9006801527,1,AEB75004912,S,"Grille Assembly,Fan",20-Jun-24,27-Jun-24,Jun,384,Closed,,EAIL_PG ELECTROPLAST LTD._IN001930,03-Jul-24,1,Pass
CNZ,IN031723,IN031723,9006801527,1,AEB75004912,S,"Grille Assembly,Fan",20-Jun-24,27-Jun-24,Jun,270,Closed,,EAIL_PG ELECTROPLAST LTD._IN001930,24-Jun-24,10,Pass
CNZ,IN031723,IN031723,9006801527,1,AEB75004912,S,"Grille Assembly,Fan",20-Jun-24,27-Jun-24,Jun,273,Closed,,EAIL_PG ELECTROPLAST LTD._IN001930,05-Jul-24,-1,Fail
CNZ,IN031723,IN031723,9006801527,1,AEB75004912,S,"Grille Assembly,Fan",20-Jun-24,27-Jun-24,Jun,20,Closed,,EAIL_PG ELECTROPLAST LTD._IN001930,03-Jul-24,1,Pass
CNZ,IN031723,IN031723,9006801527,1,AEB75004912,S,"Grille Assembly,Fan",20-Jun-24,27-Jun-24,Jun,429,Closed,,EAIL_PG ELECTROPLAST LTD._IN001930,03-Jul-24,1,Pass
CNZ,IN031723,IN031723,9006801527,1,AEB75004912,S,"Grille Assembly,Fan",20-Jun-24,27-Jun-24,Jun,25,Closed,,EAIL_PG ELECTROPLAST LTD._IN001930,03-Jul-24,1,Pass
CNZ,IN031723,IN031723,9006800003,1,3580JF1005Z,S,"Door,Freeze Room",19-Jun-24,26-Jun-24,Jun,13,Closed,,EAIL_PRAVARTAKA TOOLING SERVICES PVT. LTD._IN001956,10-Jul-24,-7,Fail
CNZ,IN031723,IN031723,9006800002,1,3580JF1005Z,S,"Door,Freeze Room",19-Jun-24,26-Jun-24,Jun,12,Closed,,EAIL_PRAVARTAKA TOOLING SERVICES PVT. LTD._IN001956,10-Jul-24,-7,Fail
CNZ,IN031723,IN031723,9006799335,1,AHT74553807,S,"Shelf Assembly,Refrigerator",19-Jun-24,26-Jun-24,Jun,3,Closed,,EAIL_AJAY POLI PVT.LTD(NOIDA)_IN002172,20-Jun-24,13,Pass
CNZ,IN031723,IN031723,9006799334,1,AHT74553808,S,"Shelf Assembly,Refrigerator",19-Jun-24,26-Jun-24,Jun,200,Closed,,EAIL_AJAY POLI PVT.LTD(NOIDA)_IN002172,20-Jun-24,13,Pass
CNZ,IN031723,IN031723,9006799333,1,AHT74553807,S,"Shelf Assembly,Refrigerator",19-Jun-24,26-Jun-24,Jun,200,Closed,,EAIL_AJAY POLI PVT.LTD(NOIDA)_IN002172,20-Jun-24,13,Pass
CNZ,IN031723,IN031723,9006799332,1,AHT74553807,S,"Shelf Assembly,Refrigerator",19-Jun-24,26-Jun-24,Jun,1,Closed,,EAIL_AJAY POLI PVT.LTD(NOIDA)_IN002172,20-Jun-24,13,Pass
CNZ,IN031723,IN031723,9006799331,1,AHT74553807,S,"Shelf Assembly,Refrigerator",19-Jun-24,26-Jun-24,Jun,100,Closed,,EAIL_AJAY POLI PVT.LTD(NOIDA)_IN002172,20-Jun-24,13,Pass
CNZ,IN031723,IN031723,9006794034,2,ACQ88487030,S,"Cover Assembly,Hinge",16-Jun-24,30-Jun-24,Jun,1,Closed,,EAIL_DIPTYLAL JUDGE MAL (P) LTD.-Noida_IN001089,18-Jun-24,19,Pass
CNZ,IN031723,IN031723,9006794034,1,MAN64895104,S,"Basket,Door",16-Jun-24,30-Jun-24,Jun,1,Closed,,EAIL_PING TELEMATICS PVT LTD-Noida_IN002166,08-Jul-24,-1,Fail
CNZ,IN031723,IN031723,9006792194,1,MCK71380001,S,"Cover,Rear",15-Jun-24,29-Jun-24,Jun,1,Closed,,EAIL_KUNSTOCOM (INDIA) LIMITED_IN001988,18-Jun-24,18,Pass
CNZ,IN031723,IN031723,9006789896,1,MHL63211401,G,"Shelf,Freezer",14-Jun-24,28-Jun-24,Jun,1,Closed,,EAIL_VISHKARMA ENTERPRISES-Noida_IN001347,18-Jun-24,17,Pass
CNZ,IN031723,IN031723,9006787785,1,AHT75337508,S,"Shelf Assembly,Refrigerator",13-Jun-24,27-Jun-24,Jun,1,Closed,,EAIL_AJAY POLI PVT.LTD(NOIDA)_IN002172,18-Jun-24,16,Pass
CNZ,IN031723,IN031723,9006789420,1,EBG62505702,D,Thermostat,13-Jun-24,20-Jun-24,Jun,500,Closed,,EAIL_CHANGZHOU THERMOSTER ELECTRICAL APPLIANCE CO. LTD._CN003843,18-Jun-24,9,Pass
CNZ,IN031723,IN031723,9006789421,1,EBG62505702,D,Thermostat,13-Jun-24,20-Jun-24,Jun,500,Closed,,EAIL_CHANGZHOU THERMOSTER ELECTRICAL APPLIANCE CO. LTD._CN003843,18-Jun-24,9,Pass
CNZ,IN031723,IN031723,9006789292,1,TCA35673636,G,"Compressor,Set Assembly",13-Jun-24,20-Jun-24,Jun,25,Closed,,EAIL_Ref Compressor Division(Noida)_IN002505,18-Jun-24,9,Pass
CNZ,IN031723,IN031723,9006789291,1,TCA35673636,G,"Compressor,Set Assembly",13-Jun-24,20-Jun-24,Jun,215,Closed,,EAIL_Ref Compressor Division(Noida)_IN002505,18-Jun-24,9,Pass
CNZ,IN031723,IN031723,9006789290,1,TCA35673636,G,"Compressor,Set Assembly",13-Jun-24,30-Jun-24,Jun,100,Closed,,EAIL_Ref Compressor Division(Noida)_IN002505,18-Jun-24,19,Pass
CNZ,IN031723,IN031723,9006789289,1,TCA35673636,G,"Compressor,Set Assembly",13-Jun-24,20-Jun-24,Jun,125,Closed,,EAIL_Ref Compressor Division(Noida)_IN002505,18-Jun-24,9,Pass
CNZ,IN031723,IN031723,9006789185,2,EAG64629810,G,"Socket,Lamp",13-Jun-24,20-Jun-24,Jun,20,Closed,,EAIL_GLORIOUS ELECTRONICS I PVT.LTD._IN001972,18-Jun-24,9,Pass
CNZ,IN031723,IN031723,9006789287,1,TCA35673636,G,"Compressor,Set Assembly",13-Jun-24,20-Jun-24,Jun,189,Closed,,EAIL_Ref Compressor Division(Noida)_IN002505,18-Jun-24,9,Pass
CNZ,IN031723,IN031723,9006788663,2,6621JG2002D,G,"Socket,Lamp",13-Jun-24,20-Jun-24,Jun,5,Closed,,EAIL_GLORIOUS ELECTRONICS I PVT.LTD._IN001972,18-Jun-24,9,Pass
CNZ,IN031723,IN031723,9006788663,1,AHT75337508,S,"Shelf Assembly,Refrigerator",13-Jun-24,20-Jun-24,Jun,40,Closed,,EAIL_AJAY POLI PVT.LTD(NOIDA)_IN002172,18-Jun-24,9,Pass
